Medium,Values
"Cut-and-pasted printed paper, synthetic polymer paint, felt-tip pen, ballpoint pen, colored pencil, and pencil on paper",1
"Glass, acrylic, and aluminum honeycomb or louvers",1
Painted paper and acrylic,1
Illustrated book with twenty-nine etchings,1
"Illustrated book with 52 line block and pochoir reproductions after pen and ink drawings (including duplicates on wrapper front and title page), printed in color",1
Gelatin silver prints on paper with graphite,1
digital images(?),1
"Charcoal, synthetic polymer paint, typewriting, and pencil on paper",1
Performance with plywood and rope,1
"9 three-color relief halftone reproductions, 1 (tipped in) after watercolor and 8 after crayon drawings, printed in color",1
"Oil, lithography ink, and modeling paste on paper mounted on wood and canvasboard",1
"Tempera, pastel and sand on canvas",1
Ink and watercolor on tracing paper,1
Stainless-steel bars and leather upholsteryf,1
".1, .3-88, .90, .92, .94-99 Pencil, .89, .91 Carbon, .93 Carbon and pencil, .2 Pencil, pen and ink",1
Series of ten offset lithographs,1
"Extruded PVC, celcon, and stainless steel",1
Relief and soft ground etching,1
Cut-and-pasted reproduction and ink on glazed paper,1
.a) recto: Felt-tip pen and colored pencil on printed paper  .b) verso: Felt-tip pen on printed paper,1
"Refrigerator, table, chairs, wood, drywall, food and other materials",1
"Ink and synthetic polymer paint on handmade paper
",1
Cut-and-taped printed paper on three pieces of colored paper,1
Illustrated book with one lithograph (frontispiece); and ten line block reproductions after brush and ink drawings,1
"Soft ground etching, drypoint, and engraving, printed in black",1
Multiple of mailed postcard,1
Portfolio with 14 drypoints,1
Black ink wash drawing,1
"Letter: felt-tip pen, pencil, and typewriting on paper; Image: ink, gouache, and rubber stamp on gelatin silver print, pierced to reveal fabric",1
"Colored crayon, pencil, and ribbon pinned to paper",1
Illustrated book with ten screenprints and ten photolithographic reproductions of photographs,1
Clay and wood,1
Oil and pencil on newspaper,1
"Three volumes of thirty-three serigraphs, printed in color",1
"Charcoal, oil, crayon, and varnish on paper",1
Charcoal on cast stone base,1
"Ink, gold ink on cloth, and pencil on paper",1
"3D Duratrans print and acrylic, sound (3:20 min.)",1
"Multiple of two bottles, one with felt, in wooden box with rubber stamp additions",1
"Painted wood box, printed papers, pins, brass thimble, cardboard, and copper screen",1
"Felt-tip pen, pushpins, cut-and-pasted gelatin silver print, synthetic polymer paint, toy cockroaches, stamped ink, transfer type, and pressure-sensitive tape on gelatin silver and chromogenic prints
",1
"Dewaxed shellac, wood fibers, bois durci",1
"Leopard maple (Acer Rubrum, a form of Red Maple)",1
Silvered glass water bottles,1
Molded calico ash plywood and canvas,1
Folded black paper,1
Illustrated book with 44 offset lithographs,1
"Fabric illustrated book with 35 compositions: 32 fabric collages, 2 with hand additions, and 3 lithographs (including cover)",1
11 chromogenic color prints and 1 gelatin silver print,1
Series of 5 Mixografias,1
Envelopes containing offset cards,1
"Gouache, colored ink, pencil, and felt-tip pen on one hundred and thirty pages of paper, sewn with metallic thread
",1
".1: Glazed stoneware and bamboo 
.2-.3: Glazed stoneware",1
14 lift ground aquatints,1
Oil and tempera on gessoed composition board,1
Stainless steel with copper bottom,1
Enamel on steel and plastic laminate on wood,1
Book of musical scores with twenty lithographs (including wrapper front),1
Book with six supplementary prints,1
"2 linoleum cuts, printed in black",1
".a: Pencil, pen and ink, and cut-and-pasted printed paper
.b: Ink and cut-and-pasted printed paper",1
Ink and gouache on mulberry paper,1
"Pencil, ink, and wash on graph paper",1
Synthetic polymer paint and graphite on canvas,1
"Cut lead crystal, cork, and wood",1
"Etching, lift ground aquatint, and lithograph",1
Color pencil (blue and black) on note paper,1
Chrome-plated tubular steel with leather,1
Multiple of urethane and fabric,1
"Overall design, incorporating photographic illustrations by Rodchenko and others. (Accompanied by a 1982 English translation facsimile published by Museum of Modern Art, Oxford, 23 3/4 x 16 7/8"" (60.3 x 42.8 cm))",1
Lithograph with lithographed mylar overlay,1
"Mahogany, spruce, and ebony",1
Sand and binder on wood,1
Ceramic mug with gold lettering,1
"Wood, pillow, and polystyrene balls",1
"Basswood, foamcore board, Plexiglass, brass, and bristles",1
Cut-and-pasted printed paper and pencil on graph paper,1
"Wall installation with plywood, shoes, cow bladder and surgical thread, six niches",1
Synthetic polymer paint and latex on canvas filled with foam rubber and cardboard boxes,1
17 linoleum cuts (including folder),1
Stainless steel and wood,1
"Charcoal, pencil, and pressure-sensitive tape on paper",1
"Cut-and-pasted printed paper, gouache, transfer type, and pencil on paper",1
Ink and red thread on paper,1
Illustrated book with 100 Xerox prints,1
Etching and engraving from a portfolio of five etchings and two lithographs,1
Suite of ten lithographs,1
Steel-reinforced polyethylene resin,1
"Wood box with typewritten label, containing objects in various media",1
"Water-filled plexiglass tubes, painted metal rollers with strips of colored cotton cloth tape, and motor, in a box",1
"Fur-covered cup, saucer, and spoon",1
"Watercolor, ink, pastel, and charcoal on paper",1
Brass and cotton,1
Graphite on cut-and-pasted paper and graphite on cut-and-pasted printed paper on printed paper,1
"Double-sided sheet with ink, postage stamps, and metal grommet",1
".a: Pen and ink
",1
Chromed steel and polyurethane foam covered with bi-elastic fabric,1
"Zinc relief etchings, lithographs and linoleum cuts, printed in black, letterpress interspersed",1
Artist's book with two bookplates,1
"50mm Cibachrome slide, Lietz Prado Universal Projector, Polaroid",1
"Ebony veneer, inlaid pewter, ivory and mother of pearl",1
a. Felt-tip pen and cut-and-taped paper on graph paper b. Felt-tip pen and printed paper on graph paper,1
"Photolithograph, folded and hinged to create a pop- up effect, with matchstick collage",1
"Roulette, etching and drypoint, printed in color and black",1
Cut-and-pasted printed paper and crayon in wood frame with blue glass,1
"Graphite, gouache, and watercolor on paper",1
"Photostat on three wooden panels, with felt-tip pen and crayon additions and metal hook",1
Watercolor on five sheets of paper,1
7-inch vinyl record with booklet,1
Two drawings: a) felt-tip pen on paper b) pencil and felt-tip pen on paper,1
Enamel and charcoal on paper mounted on canvas,1
Artist's book with nineteen object collage additions,1
"Books bound in linen, wood bookcase, metal, plastic, electric light bulb, and silkscreen ink on cloth",1
"Apple Powerbook 280c, computer software, acrylic, plastic",1
"4 soft ground etchings (1 with etching) and 1 etching and engraving, printed in black",1
"Copper plate for etching, which has been steel faced",1
"Illustrated book with one screenprint, two etchings, two lithographs, eleven photolithographs with rubber stamp, pochoir, collage, watercolor, gouache, colored crayon, felt tip pen, ballpoint pen, and/or pencil additions, and fourteen photolithographic reproductions",1
"Gouache, airbrush, and ink on paper",1
"Photogravure, collage, plasticine and cut paper",1
"Wood chessboard with thirty vial pieces (two missing), originally containing various liquids, and lid",1
"Illustrated book with six lithographs, one with glitter additions",1
"Cut-and-pasted printed paper with colored pencil, felt-tip pen, and pencil on paper",1
"1 etching (+Portrait of Ambroise Vollard-, frontispiece), printed in black, and reproduction after Renoir lithograph",1
Polyurethane and silk,1
Ink and colored pencil on vellum,1
Engraving and roulette,1
Cut fabric and wax on paper on board,1
Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1
Multiple of photolithograph on fan,1
"Drypoint, roulette, and etching",1
"Plastic box with offset label, containing objects in various media with offset labels",1
Lithograph on cut-and-pasted paper with felt-tip pen and watercolor additions,1
"Screenprint with screenprinted glassine overlay, printed in color",1
"7 etchings (most with aquatint, drypoint, engraving and/or roulette): 2 printed in color and 5 printed in black; and 3 engravings (1 with drypoint), printed in black",1
"Illustrated book with ten drypoints (including wrapper front), 2 with engraving and/or etching, printed in black",1
Book with two letterpress illustrations,1
"Portfolio of ten etchings, five with aquatint, and 25 digital prints with chine collé",1
"Wood, paper, and acrylic",1
"Hard and soft ground etching, and engraving, printed in black",1
"Photogravure, laser-cutting, enamel, gouache, polymer medium and pomade",1
"Sixty gelatin silver prints, published 1982",1
"Illustrated book wtih five etching and aquatints, and 36 line block reproductions",1
Steel and nickle-plated brass,1
"Plexiglass maze, closed-circuit video camera, scanner and mount, switcher, two videotape players, 13-inch color monitor, 9-inch back-and-white monitor, video projector, and two videotapes (color, sound)",1
"Pencil, conté crayon, and wash on paper",1
"Illustrated book with three screenprints 

",1
"5-D multimedia installation (color, sound)",1
Ink drawing by Simon Manfield in artist's frame,1
"Gelatin silver and silver dye bleach prints, map, typewritten text on paper",1
Painted wood and metal rods,1
"Earth from Nazca, Peru on rag paper, mounted rag board, and pencil and ink on layered vellums",1
"Vinyl-coated steel wire, black-oxidized steel rod base, and Naugahyde seat pad",1
"Burnt matches, Styrofoam, and typewritten label",1
"4 lithographs, printed in color; and 29 linoleum cuts (2 designs repeated), printed in color; and added woodcut (New Year's card), printed in black with watercolor additions",1
"Ballpoint pen, felt-tip pen and pencil on paper",1
"Paper, colored pencil and foamcore",1
Stained beech and Resinflex,1
Illustrated book with three etchings (one with aquatint),1
"Book with 27 transfer lithographs and collaged cover, with lithographed manuscript text and rubber-stamped text",1
"Duck call with crimped rubber tube and electric motor with crank, on tripod stand",1
Color photographs,1
"Plastic box with offset label, containing plastic balls and sand",1
Offset poster with wood stick,1
Screenprint on vinyl,1
.a) recto: Felt-tip pen and crayon and sythetic polymer paint on graph paper  .b) verso: Felt-tip pen on graph paper,1
